time|away|score|home
19:44|Shane Richards missed Three Point Jumper.|0-0| 
19:44| |0-0|Jarquez Smith Defensive Rebound.
19:22| |0-0|Kiel Turpin missed Jumper.
19:22|Emmy Andujar Defensive Rebound.|0-0| 
19:04| |0-0|Foul on Aaron Thomas.
18:50|Jermaine Lawrence Turnover.|0-0| 
18:46| |0-2|Aaron Thomas made Layup.
18:32|Ashton Pankey Turnover.|0-2| 
18:24| |0-2|Kiel Turpin Turnover.
18:13|Jermaine Lawrence missed Three Point Jumper.|0-2| 
18:13| |0-2|Devon Bookert Defensive Rebound.
17:59| |0-4|Montay Brandon made Jumper.
17:34|Shane Richards made Three Point Jumper. Assisted by Emmy Andujar.|3-4| 
17:16| |3-4|Aaron Thomas Turnover.
17:09|Foul on Ashton Pankey.|3-4| 
17:09|Ashton Pankey Turnover.|3-4| 
17:07| |3-4|Jarquez Smith Turnover.
17:05|Rich Williams Steal.|3-4| 
17:03|Shane Richards made Three Point Jumper. Assisted by Rich Williams.|6-4| 
16:52|Foul on RaShawn Stores.|6-4| 
16:42| |6-4|Montay Brandon Turnover.
16:34|Shane Richards missed Jumper.|6-4| 
16:34| |6-4|Montay Brandon Defensive Rebound.
16:22| |6-6|Montay Brandon made Jumper.
16:22|Foul on Carlton Allen.|6-6| 
16:22| |6-7|Montay Brandon made Free Throw.
16:05| |6-7|Foul on Montay Brandon.
15:51|RaShawn Stores made Three Point Jumper.|9-7| 
15:37| |9-9|Kiel Turpin made Dunk. Assisted by Devon Bookert.
15:00|Emmy Andujar Turnover.|9-9| 
14:58| |9-9|Kiel Turpin Steal.
14:55| |9-9|Aaron Thomas missed Three Point Jumper.
14:55|Donovan Kates Defensive Rebound.|9-9| 
14:45|Rich Williams made Three Point Jumper.|12-9| 
14:26| |12-9|Kiel Turpin missed Jumper.
14:26|Donovan Kates Defensive Rebound.|12-9| 
14:12|Carlton Allen Turnover.|12-9| 
14:12| Official TV Timeout| Official TV Timeout| Official TV Timeout
13:51| |12-9|Dayshawn Watkins Turnover.
13:44| |12-9|Foul on Dayshawn Watkins.
13:44|Ashton Pankey made Free Throw.|13-9| 
13:44|Ashton Pankey made Free Throw.|14-9| 
13:36| |14-9|Devon Bookert Turnover.
13:21|Jermaine Lawrence made Three Point Jumper.|17-9| 
12:58| |17-9|Boris Bojanovsky missed Jumper.
12:58|Ashton Pankey Defensive Rebound.|17-9| 
12:56| |17-9|Foul on Boris Bojanovsky.
12:31|Ashton Pankey missed Jumper.|17-9| 
12:31| |17-9|Florida St Defensive Rebound.
12:16| |17-9|Phil Cofer missed Dunk.
12:16|Shane Richards Defensive Rebound.|17-9| 
12:09|Ashton Pankey missed Layup.|17-9| 
12:09| |17-9|Boris Bojanovsky Block.
12:08| |17-9|Devon Bookert Defensive Rebound.
12:04|Foul on Tyler Wilson.|17-9| 
11:58|Foul on Carlton Allen.|17-9| 
11:58| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:55| |17-9|Boris Bojanovsky missed Layup.
11:55|Jermaine Lawrence Block.|17-9| 
11:53|Carlton Allen Defensive Rebound.|17-9| 
11:47| |17-9|Foul on Boris Bojanovsky.
11:39|Foul on Emmy Andujar.|17-9| 
11:39|Emmy Andujar Turnover.|17-9| 
11:27| |17-9|Phil Cofer Turnover.
11:15|Foul on Emmy Andujar.|17-9| 
11:15|Emmy Andujar Turnover.|17-9| 
11:06| |17-11|Aaron Thomas made Jumper.
10:55|Jermaine Lawrence Turnover.|17-11| 
10:45| |17-11|Aaron Thomas missed Three Point Jumper.
10:45|Ashton Pankey Defensive Rebound.|17-11| 
10:26|Calvin Crawford missed Three Point Jumper.|17-11| 
10:26|Ashton Pankey Offensive Rebound.|17-11| 
10:21|Jermaine Lawrence missed Jumper.|17-11| 
10:21| |17-11|Florida St Deadball Team Rebound.
10:17|Foul on Calvin Crawford.|17-11| 
10:17| |17-11|Robbie Berwick missed Free Throw.
10:17|Ashton Pankey Defensive Rebound.|17-11| 
10:07| |17-11|Foul on Robbie Berwick.
10:04|Shane Richards missed Jumper.|17-11| 
10:04| |17-11|Phil Cofer Defensive Rebound.
9:39| |17-11|Aaron Thomas missed Three Point Jumper.
9:39| |17-11|Florida St Deadball Team Rebound.
9:37|Foul on Ashton Pankey.|17-11| 
9:37| |17-11|Phil Cofer missed Free Throw.
9:37|Shane Richards Defensive Rebound.|17-11| 
9:16|Rich Williams missed Three Point Jumper.|17-11| 
9:16| |17-11|Robbie Berwick Defensive Rebound.
9:10| |17-11|Robbie Berwick Turnover.
9:10|Tyler Wilson Steal.|17-11| 
9:10| |17-11|Foul on Kiel Turpin.
9:10|Tyler Wilson missed Free Throw.|17-11| 
9:10| |17-11|Aaron Thomas Defensive Rebound.
9:09|Foul on Calvin Crawford.|17-11| 
9:09| |17-12|Aaron Thomas made Free Throw.
9:09| |17-13|Aaron Thomas made Free Throw.
8:58|Shane Richards made Three Point Jumper. Assisted by Emmy Andujar.|20-13| 
8:35| |20-13|Devon Bookert Turnover.
8:20|Jermaine Lawrence missed Jumper.|20-13| 
8:20| |20-13|Montay Brandon Defensive Rebound.
8:11| |20-13|Michael Ojo Turnover.
8:09|Jermaine Lawrence Steal.|20-13| 
8:02| |20-13|Foul on Montay Brandon.
8:02|Tyler Wilson made Free Throw.|21-13| 
8:02|Tyler Wilson missed Free Throw.|21-13| 
8:02| |21-13|Devon Bookert Defensive Rebound.
7:48| |21-13|Devon Bookert Turnover.
7:47|Tyler Wilson Steal.|21-13| 
7:44|Shane Richards missed Three Point Jumper.|21-13| 
7:44|Carlton Allen Offensive Rebound.|21-13| 
7:26| |21-13|Foul on Michael Ojo.
7:26| Official TV Timeout| Official TV Timeout| Official TV Timeout
7:26|Tyler Wilson made Free Throw.|22-13| 
7:26|Tyler Wilson made Free Throw.|23-13| 
7:13| |23-15|Kiel Turpin made Layup. Assisted by Dayshawn Watkins.
7:13|Foul on Carlton Allen.|23-15| 
7:13| |23-16|Kiel Turpin made Free Throw.
6:59| |23-16|Foul on Kiel Turpin.
6:59|Jermaine Lawrence missed Free Throw.|23-16| 
6:59|Manhattan Deadball Team Rebound.|23-16| 
6:59|Jermaine Lawrence made Free Throw.|24-16| 
6:50| |24-16|Jarquez Smith Turnover.
6:48|Jermaine Lawrence Steal.|24-16| 
6:40|Ashton Pankey Turnover.|24-16| 
6:38| |24-16|Dayshawn Watkins Steal.
6:31| |24-16|Foul on Aaron Thomas.
6:31| |24-16|Aaron Thomas Turnover.
6:22|Foul on Ashton Pankey.|24-16| 
6:22|Ashton Pankey Turnover.|24-16| 
6:15|Foul on Jermaine Lawrence.|24-16| 
6:15| |24-17|Robbie Berwick made Free Throw.
6:15| |24-17|Robbie Berwick missed Free Throw.
6:15|Samson Akilo Defensive Rebound.|24-17| 
6:02|Jermaine Lawrence missed Jumper.|24-17| 
6:02| |24-17|Dayshawn Watkins Defensive Rebound.
5:55| |24-17|Dayshawn Watkins Turnover.
5:55|Florida St  Timeout|Florida St  Timeout|Florida St  Timeout
5:43|Rich Williams missed Jumper.|24-17| 
5:43|Carlton Allen Offensive Rebound.|24-17| 
5:39|Carlton Allen missed Layup.|24-17| 
5:39| |24-17|Jarquez Smith Defensive Rebound.
5:26| |24-17|Phil Cofer missed Three Point Jumper.
5:26| |24-17|Jarquez Smith Offensive Rebound.
5:18|Foul on Carlton Allen.|24-17| 
5:18| |24-18|Jarquez Smith made Free Throw.
5:18| |24-19|Jarquez Smith made Free Throw.
4:55|Shane Richards missed Three Point Jumper.|24-19| 
4:55| |24-19|Florida St Deadball Team Rebound.
4:51|Foul on Emmy Andujar.|24-19| 
4:51| |24-19|Jarquez Smith missed Free Throw.
4:51| |24-19|Florida St Deadball Team Rebound.
4:51| |24-20|Jarquez Smith made Free Throw.
4:41| |24-20|Foul on Jarquez Smith.
4:41|Shane Richards made Free Throw.|25-20| 
4:41|Shane Richards made Free Throw.|26-20| 
4:25| |26-22|Devon Bookert made Jumper.
4:10|Rich Williams made Layup.|28-22| 
4:03|Foul on Tyler Wilson.|28-22| 
4:03| |28-23|Dayshawn Watkins made Free Throw.
4:03| |28-24|Dayshawn Watkins made Free Throw.
3:44|Donovan Kates missed Three Point Jumper.|28-24| 
3:44| |28-24|Phil Cofer Defensive Rebound.
3:20| |28-26|Jarquez Smith made Dunk. Assisted by Devon Bookert.
3:04| |28-26|Foul on Robbie Berwick.
3:04| Official TV Timeout| Official TV Timeout| Official TV Timeout
3:04|Shane Richards missed Free Throw.|28-26| 
3:04|Manhattan Deadball Team Rebound.|28-26| 
3:04|Shane Richards made Free Throw.|29-26| 
3:04|Shane Richards made Free Throw.|30-26| 
2:58|Foul on Shane Richards.|30-26| 
2:58| |30-27|Robbie Berwick made Free Throw.
2:58| |30-28|Robbie Berwick made Free Throw.
2:41|RaShawn Stores Turnover.|30-28| 
2:39| |30-28|Dayshawn Watkins Steal.
2:33| |30-28|Devon Bookert missed Three Point Jumper.
2:33| |30-28|Florida St Offensive Rebound.
2:27|Foul on Calvin Crawford.|30-28| 
2:27| |30-29|Phil Cofer made Free Throw.
2:27| |30-30|Phil Cofer made Free Throw.
2:15|Jermaine Lawrence Turnover.|30-30| 
2:13| |30-30|Robbie Berwick Steal.
2:10| |30-30|Foul on Devon Bookert.
2:10| |30-30|Devon Bookert Turnover.
1:58|Jermaine Lawrence missed Layup.|30-30| 
1:58| |30-30|Phil Cofer Block.
1:55| |30-30|Phil Cofer Defensive Rebound.
1:49|Foul on Shane Richards.|30-30| 
1:49| |30-31|Jarquez Smith made Free Throw.
1:49| |30-31|Jarquez Smith missed Free Throw.
1:49|Shane Richards Defensive Rebound.|30-31| 
1:36|Rich Williams Turnover.|30-31| 
1:33| |30-31|Dayshawn Watkins Steal.
1:18| |30-34|Devon Bookert made Three Point Jumper. Assisted by Phil Cofer.
1:12|Manhattan  Timeout|Manhattan  Timeout|Manhattan  Timeout
1:12| |30-34|Technical Foul on Devon Bookert.
1:12| |30-34|Foul on Devon Bookert.
1:12|Shane Richards missed Free Throw.|30-34| 
1:12|Manhattan Deadball Team Rebound.|30-34| 
1:12|Shane Richards made Free Throw.|31-34| 
0:54|RaShawn Stores missed Three Point Jumper.|31-34| 
0:54|RaShawn Stores Offensive Rebound.|31-34| 
0:49|Calvin Crawford missed Three Point Jumper.|31-34| 
0:49| |31-34|Dayshawn Watkins Defensive Rebound.
0:23| |31-37|Robbie Berwick made Three Point Jumper. Assisted by Brandon Allen.
0:00|Shane Richards missed Three Point Jumper.|31-37| 
0:00|Manhattan Deadball Team Rebound.|31-37| 
0:00|End of 1st half|End of 1st half|End of 1st half
19:40| |31-37|Jarquez Smith Turnover.
19:28|Samson Akilo missed Jumper.|31-37| 
19:28| |31-37|Jarquez Smith Defensive Rebound.
19:12|Foul on Carlton Allen.|31-37| 
19:12| |31-38|Jarquez Smith made Free Throw.
19:12| |31-39|Jarquez Smith made Free Throw.
19:12| |31-40|Jarquez Smith made Free Throw.
18:53|Jermaine Lawrence Turnover.|31-40| 
18:44|Foul on Jermaine Lawrence.|31-40| 
18:44| |31-40|Montay Brandon missed Free Throw.
18:44| |31-40|Florida St Deadball Team Rebound.
18:44| |31-41|Montay Brandon made Free Throw.
18:34|Ashton Pankey Turnover.|31-41| 
18:33| |31-41|Devon Bookert Steal.
18:28| |31-43|Aaron Thomas made Layup. Assisted by Devon Bookert.
18:14|Ashton Pankey Turnover.|31-43| 
18:14| |31-43|Aaron Thomas Steal.
18:14|Manhattan  Timeout|Manhattan  Timeout|Manhattan  Timeout
18:08|Florida St  Timeout|Florida St  Timeout|Florida St  Timeout
17:52| |31-45|Aaron Thomas made Dunk.
17:42|RaShawn Stores made Three Point Jumper. Assisted by Tyler Wilson.|34-45| 
17:33|Foul on Tyler Wilson.|34-45| 
17:00| |34-47|Kiel Turpin made Jumper. Assisted by Montay Brandon.
16:33|RaShawn Stores missed Three Point Jumper.|34-47| 
16:33|Tyler Wilson Offensive Rebound.|34-47| 
16:29|Shane Richards missed Three Point Jumper.|34-47| 
16:29| |34-47|Devon Bookert Defensive Rebound.
16:04|Foul on Samson Akilo.|34-47| 
16:04| |34-47|Phil Cofer missed Free Throw.
16:04| |34-47|Florida St Deadball Team Rebound.
16:04| |34-47|Phil Cofer missed Free Throw.
16:04|Shane Richards Defensive Rebound.|34-47| 
15:51|Rich Williams Turnover.|34-47| 
15:49| |34-47|Phil Cofer Steal.
15:47| |34-47|Foul on Montay Brandon.
15:47| |34-47|Montay Brandon Turnover.
15:47| Official TV Timeout| Official TV Timeout| Official TV Timeout
15:29|RaShawn Stores made Three Point Jumper. Assisted by Shane Richards.|37-47| 
15:12| |37-47|Devon Bookert Turnover.
15:10|RaShawn Stores Steal.|37-47| 
15:07| |37-47|Foul on Dayshawn Watkins.
14:56|Foul on Samson Akilo.|37-47| 
14:56|Samson Akilo Turnover.|37-47| 
14:36| |37-49|Kiel Turpin made Dunk. Assisted by Aaron Thomas.
14:21|Emmy Andujar made Layup.|39-49| 
14:06| |39-51|Aaron Thomas made Jumper. Assisted by Devon Bookert.
13:54|Shane Richards missed Three Point Jumper.|39-51| 
13:54|Emmy Andujar Offensive Rebound.|39-51| 
13:49|Emmy Andujar missed Layup.|39-51| 
13:49|Samson Akilo Offensive Rebound.|39-51| 
13:43|Samson Akilo made Layup.|41-51| 
13:29| |41-51|Aaron Thomas missed Layup.
13:29| |41-51|Florida St Deadball Team Rebound.
13:29|Foul on Shane Richards.|41-51| 
13:24| |41-51|Devon Bookert Turnover.
13:15|Shane Richards missed Three Point Jumper.|41-51| 
13:15|Emmy Andujar Offensive Rebound.|41-51| 
13:07| |41-51|Foul on Phil Cofer.
13:07|Ashton Pankey made Free Throw.|42-51| 
13:07|Ashton Pankey made Free Throw.|43-51| 
12:44| |43-51|Boris Bojanovsky missed Jumper.
12:44|Emmy Andujar Defensive Rebound.|43-51| 
12:42| |43-51|Foul on Phil Cofer.
12:30| |43-51|Foul on Robbie Berwick.
12:07|Donovan Kates missed Jumper.|43-51| 
12:07| |43-51|Robbie Berwick Defensive Rebound.
11:44| |43-51|Phil Cofer missed Jumper.
11:44|Donovan Kates Defensive Rebound.|43-51| 
11:39| |43-51|Foul on Aaron Thomas.
11:39| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:39|Tyler Wilson made Free Throw.|44-51| 
11:39|Tyler Wilson made Free Throw.|45-51| 
11:30| |45-53|Robbie Berwick made Layup.
11:23|Ashton Pankey made Layup. Assisted by Shane Richards.|47-53| 
11:23| |47-53|Foul on Boris Bojanovsky.
11:23|Ashton Pankey missed Free Throw.|47-53| 
11:23|Donovan Kates Offensive Rebound.|47-53| 
11:12|Donovan Kates missed Three Point Jumper.|47-53| 
11:12| |47-53|Aaron Thomas Defensive Rebound.
10:58| |47-56|Robbie Berwick made Three Point Jumper. Assisted by Aaron Thomas.
10:39| |47-56|Foul on Jarquez Smith.
10:39|Ashton Pankey made Free Throw.|48-56| 
10:39|Ashton Pankey made Free Throw.|49-56| 
10:26| |49-56|Robbie Berwick missed Three Point Jumper.
10:26|Ashton Pankey Defensive Rebound.|49-56| 
10:22| |49-56|Foul on Dayshawn Watkins.
10:22|Ashton Pankey made Free Throw.|50-56| 
10:22|Ashton Pankey missed Free Throw.|50-56| 
10:22| |50-56|Phil Cofer Defensive Rebound.
10:15|Foul on Rich Williams.|50-56| 
10:15| |50-56|Dayshawn Watkins missed Free Throw.
10:15|Ashton Pankey Defensive Rebound.|50-56| 
9:50|Ashton Pankey missed Layup.|50-56| 
9:50|Emmy Andujar Offensive Rebound.|50-56| 
9:43|Emmy Andujar missed Layup.|50-56| 
9:43|Ashton Pankey Offensive Rebound.|50-56| 
9:43|Ashton Pankey missed Layup.|50-56| 
9:43|Manhattan Offensive Rebound.|50-56| 
9:15|Shane Richards missed Three Point Jumper.|50-56| 
9:15|Emmy Andujar Offensive Rebound.|50-56| 
9:12| |50-56|Foul on Aaron Thomas.
9:12|Emmy Andujar missed Free Throw.|50-56| 
9:12|Manhattan Deadball Team Rebound.|50-56| 
9:12|Emmy Andujar made Free Throw.|51-56| 
8:56| |51-56|Kiel Turpin Turnover.
8:34|Tyler Wilson missed Layup.|51-56| 
8:34| |51-56|Kiel Turpin Defensive Rebound.
8:10| |51-56|Kiel Turpin missed Jumper.
8:10| |51-56|Phil Cofer Offensive Rebound.
8:09|Foul on Donovan Kates.|51-56| 
8:09| |51-57|Phil Cofer made Free Throw.
8:09| |51-58|Phil Cofer made Free Throw.
7:35|RaShawn Stores missed Three Point Jumper.|51-58| 
7:35| |51-58|Phil Cofer Defensive Rebound.
7:16| |51-58|Phil Cofer missed Layup.
7:16| |51-58|Montay Brandon Offensive Rebound.
7:13| |51-60|Montay Brandon made Layup.
6:59|Foul on Tyler Wilson.|51-60| 
6:59|Tyler Wilson Turnover.|51-60| 
6:59| Official TV Timeout| Official TV Timeout| Official TV Timeout
6:33| |51-60|Devon Bookert missed Jumper.
6:33|Emmy Andujar Defensive Rebound.|51-60| 
6:27|Emmy Andujar made Layup.|53-60| 
6:08|Foul on RaShawn Stores.|53-60| 
6:08| |53-61|Montay Brandon made Free Throw.
6:08| |53-62|Montay Brandon made Free Throw.
5:50|Shane Richards missed Jumper.|53-62| 
5:50| |53-62|Montay Brandon Defensive Rebound.
5:25| |53-64|Devon Bookert made Jumper.
5:02|Emmy Andujar missed Jumper.|53-64| 
5:02| |53-64|Jarquez Smith Defensive Rebound.
4:55|Foul on Rich Williams.|53-64| 
4:55| |53-65|Devon Bookert made Free Throw.
4:55| |53-66|Devon Bookert made Free Throw.
4:49| |53-66|Foul on Robbie Berwick.
4:49|Tyler Wilson made Free Throw.|54-66| 
4:49|Tyler Wilson missed Free Throw.|54-66| 
4:49| |54-66|Kiel Turpin Defensive Rebound.
4:35| |54-68|Jarquez Smith made Layup. Assisted by Devon Bookert.
4:14| |54-68|Foul on Kiel Turpin.
4:14|Ashton Pankey made Free Throw.|55-68| 
4:14|Ashton Pankey missed Free Throw.|55-68| 
4:14| |55-68|Montay Brandon Defensive Rebound.
4:07|Foul on RaShawn Stores.|55-68| 
4:07| |55-68|Aaron Thomas missed Free Throw.
4:07| |55-68|Florida St Deadball Team Rebound.
4:07| |55-69|Aaron Thomas made Free Throw.
3:41|Tyler Wilson missed Layup.|55-69| 
3:41| |55-69|Kiel Turpin Block.
3:41|Manhattan Offensive Rebound.|55-69| 
3:39| Official TV Timeout| Official TV Timeout| Official TV Timeout
3:35|Emmy Andujar missed Layup.|55-69| 
3:35| |55-69|Kiel Turpin Block.
3:34|Emmy Andujar Offensive Rebound.|55-69| 
3:34| |55-69|Foul on Jarquez Smith.
3:34|Emmy Andujar made Free Throw.|56-69| 
3:34|Emmy Andujar missed Free Throw.|56-69| 
3:34| |56-69|Florida St Deadball Team Rebound.
3:33|Foul on RaShawn Stores.|56-69| 
3:33| |56-70|Jarquez Smith made Free Throw.
3:33| |56-71|Jarquez Smith made Free Throw.
3:15|Emmy Andujar Turnover.|56-71| 
2:58| |56-73|Kiel Turpin made Layup. Assisted by Aaron Thomas.
2:36|Emmy Andujar made Three Point Jumper. Assisted by Tyler Wilson.|59-73| 
2:33|Manhattan  Timeout|Manhattan  Timeout|Manhattan  Timeout
2:22| |59-75|Kiel Turpin made Layup. Assisted by Aaron Thomas.
2:05| |59-75|Foul on Kiel Turpin.
2:05|Ashton Pankey made Free Throw.|60-75| 
2:05|Ashton Pankey made Free Throw.|61-75| 
1:59|Florida St  Timeout|Florida St  Timeout|Florida St  Timeout
1:53|Foul on Tyler Wilson.|61-75| 
1:53| |61-76|Devon Bookert made Free Throw.
1:53| |61-77|Devon Bookert made Free Throw.
1:39|Shane Richards made Jumper.|63-77| 
1:39| |63-77|Foul on Montay Brandon.
1:39|Shane Richards made Free Throw.|64-77| 
1:31| |64-77|Aaron Thomas Turnover.
1:24|RaShawn Stores missed Three Point Jumper.|64-77| 
1:24| |64-77|Devon Bookert Defensive Rebound.
1:05| |64-79|Montay Brandon made Layup. Assisted by Jarquez Smith.
0:41|Ashton Pankey made Layup. Assisted by Rich Williams.|66-79| 
0:40|Manhattan  Timeout|Manhattan  Timeout|Manhattan  Timeout
0:36|Foul on RaShawn Stores.|66-79| 
0:36| |66-79|Aaron Thomas missed Free Throw.
0:36| |66-79|Florida St Deadball Team Rebound.
0:36| |66-80|Aaron Thomas made Free Throw.
0:32|Emmy Andujar Turnover.|66-80| 
0:31|Foul on Rich Williams.|66-80| 
0:31| |66-81|Dayshawn Watkins made Free Throw.
0:31| |66-81|Dayshawn Watkins missed Free Throw.
0:31|Emmy Andujar Defensive Rebound.|66-81| 
0:23|Shane Richards missed Three Point Jumper.|66-81| 
0:23| |66-81|Jarquez Smith Defensive Rebound.
0:00|End of Game|End of Game|End of Game
